dt;feature1;feature2;feature3;feature4;feature5;feature6;feature7;feature8;feature9;feature10;feature11;feature12;feature13;feature14;feature15;feature16
01-01-2019;513620.0;8009719.0;29494705.0;21668932.0;21388632.0;3259533.0;6867161.0;4693803.0;231154.0;5000647.0;2940749.0;441600.0;709700.0;12997344.0;2108032.0;12259835.0
02-01-2019;1195448.0;21603821.0;130120863.0;54535430.0;19446799.0;8119639.0;18543559.0;11706655.0;1029711.0;29412726.0;10616593.0;1421811.0;675595.0;16842802.0;4992057.0;56279658.0
03-01-2019;990103.0;16510499.0;139805079.0;38285269.0;22789453.0;6770533.0;13801658.0;24097585.0;1964858.0;23510497.0;9840066.0;1568539.0;744962.0;22860770.0;4461860.0;46210173.0
04-01-2019;1195056.0;18940384.0;99103727.0;35857361.0;11089610.0;16258695.0;17141949.0;24811290.0;1872285.0;15756672.0;10083270.0;1663719.0;361843.0;23157474.0;3600948.0;40634528.0
05-01-2019;542629.0;16420109.0;90185520.0;27062210.0;46853101.0;8654024.0;20735514.0;21536346.0;1543247.0;17935913.0;5297714.0;675580.0;383237.0;29714157.0;4013476.0;34260967.0
06-01-2019;987318.0;14184390.0;72463986.0;14036187.0;12920300.0;2714906.0;6857312.0;7383808.0;514762.0;15274832.0;5018801.0;381000.0;1346690.0;14533548.0;2063151.0;33277627.0
07-01-2019;1180228.0;17964098.0;116139541.0;25303976.0;7624273.0;5702924.0;7867356.0;13890500.0;1477370.0;22532842.0;7246650.0;975000.0;543185.0;10635704.0;3621096.0;45559082.0
08-01-2019;1211117.0;16998205.0;188318921.0;49778608.0;15025792.0;13661472.0;13560141.0;20005470.0;2043042.0;21121535.0;7085701.0;794722.0;704960.0;29365336.0;3767485.0;52867904.0
09-01-2019;1422165.0;24120242.0;92613269.0;67177468.0;25489966.0;42080421.0;20453468.0;25569277.0;2455378.0;27583944.0;9577013.0;531859.0;1078767.0;28324510.0;4236877.0;54977201.0
10-01-2019;1263841.0;21306030.0;131547036.0;30657036.0;13070993.0;19921402.0;19552177.0;24122598.0;1262508.0;33414403.0;13082174.0;964100.0;1047289.0;26740301.0;3612123.0;29472757.0
11-01-2019;2539784.0;19540114.0;119326297.0;27549428.0;27036786.0;18406781.0;15808942.0;31784787.0;3229187.0;26355181.0;11056279.0;495991.0;916059.0;17139279.0;3327142.0;46764178.0
12-01-2019;1284825.0;22322754.0;58810405.0;35498082.0;13219660.0;9232243.0;13772088.0;7899685.0;4818840.0;15730142.0;9199147.0;445900.0;1131168.0;14751380.0;4585150.0;43858828.0
13-01-2019;1093999.0;17209742.0;96818703.0;43901878.0;10991000.0;5842491.0;22417232.0;16467394.0;6683910.0;13529797.0;8346239.0;529800.0;579520.0;16812638.0;3074141.0;69719639.0
14-01-2019;1863153.0;25328666.0;78823140.0;73268269.0;7882241.0;32168277.0;24272343.0;32473823.0;3763064.0;24584607.0;12048532.0;698500.0;746091.0;25040698.0;6159494.0;56918229.0
15-01-2019;2637700.0;22468919.0;151536964.0;59595578.0;6735597.0;12968907.0;21203495.0;25346749.0;1923536.0;25059893.0;12909487.0;679054.0;1056399.0;25690998.0;5518147.0;47952035.0
16-01-2019;2315729.0;26782915.0;146984380.0;39631854.0;29477074.0;22316838.0;27651819.0;33286765.0;3930080.0;33361709.0;11124570.0;941500.0;1716299.0;24864304.0;3945919.0;62785020.0
17-01-2019;4583001.0;26746681.0;149417718.0;47641143.0;17896969.0;13254076.0;23558036.0;16797011.0;1896913.0;17027918.0;10516528.0;1715980.0;1179249.0;28408530.0;4342769.0;38501716.0
18-01-2019;2394483.0;20592959.0;108519581.0;36936296.0;28167139.0;27676414.0;14812017.0;23126909.0;3254282.0;24415154.0;11334719.0;422601.0;1105128.0;17247564.0;3835201.0;32463075.0
19-01-2019;785051.0;18213531.0;89894755.0;29463907.0;7569709.0;8094457.0;9728542.0;10075063.0;2807371.0;20475925.0;6727493.0;758600.0;1046069.0;14401635.0;1845556.0;36396000.0
20-01-2019;1039500.0;17045763.0;116795049.0;19826967.0;9992606.0;11209016.0;15481355.0;16438910.0;4049101.0;16207899.0;8829042.0;1043300.0;1177638.0;24195243.0;3707600.0;28555651.0
21-01-2019;2716961.0;20100644.0;112118892.0;79264210.0;11984569.0;16500573.0;19805756.0;17590565.0;5101625.0;31051240.0;10662941.0;751080.0;997102.0;19049990.0;3737775.0;54492987.0
22-01-2019;1936989.0;28140247.0;150473243.0;43504855.0;12745999.0;4487990.0;17557087.0;31217350.0;3754053.0;26134054.0;11873668.0;821300.0;750426.0;16971635.0;6320299.0;62200120.0
23-01-2019;3455957.0;20029078.0;97713412.0;55755052.0;17475580.0;9369955.0;13498687.0;25418725.0;6036805.0;22643644.0;8911600.0;1301698.0;532662.0;15562029.0;4085882.0;59529989.0
24-01-2019;1515163.0;23264744.0;88991205.0;884920638.0;8706640.0;10626400.0;22892336.0;15396102.0;3342668.0;20857086.0;11092994.0;1664120.0;238553.0;21743593.0;6378474.0;36667872.0
25-01-2019;1140897.0;21045328.0;85414694.0;46336819.0;14220616.0;17563286.0;16927139.0;14111730.0;2087531.0;14757829.0;11118826.0;904185.0;500094.0;21104748.0;3120360.0;35214959.0
26-01-2019;1475240.0;18440375.0;98847392.0;20269394.0;8045499.0;15876277.0;13160123.0;19328838.0;1797365.0;26144143.0;8028816.0;93200.0;307200.0;17636442.0;2987448.0;49532133.0
27-01-2019;2226088.0;21706093.0;163195226.0;112357627.0;14864440.0;6409316.0;16561224.0;20847755.0;1918030.0;22781591.0;11418607.0;1186168.0;1555792.0;17274189.0;4384436.0;58686844.0
28-01-2019;1774463.0;23087377.0;185702730.0;107549024.0;19273458.0;6122244.0;16523248.0;18480744.0;2091920.0;29498837.0;18641479.0;649313.0;1034613.0;18331935.0;4554666.0;69772947.0
29-01-2019;2738028.0;19871272.0;225988578.0;83784041.0;14907575.0;12862647.0;32704337.0;24645357.0;3108439.0;30580094.0;13984858.0;498558.0;766800.0;18291459.0;5155332.0;110087708.0
30-01-2019;6643887.0;19478298.0;178330963.0;127265836.0;12216540.0;11821082.0;19676195.0;12450869.0;3958524.0;23570038.0;13356606.0;671700.0;393110.0;18679122.0;5122381.0;69017698.0
31-01-2019;577107.0;22731937.0;103543007.0;32125185.0;47960217.0;15939618.0;19373813.0;20833442.0;2644559.0;29310352.0;9655001.0;593000.0;434709.0;28281574.0;4572750.0;44308070.0
01-02-2019;1514703.0;24087863.0;157724392.0;58300280.0;58149926.0;17086448.0;18171569.0;16333176.0;5081387.0;46645599.0;14117288.0;337625.0;713430.0;21711053.0;5138827.0;44642791.0
02-02-2019;1430392.0;21123644.0;94036420.0;37605672.0;16504250.0;9327214.0;17131623.0;10777341.0;2535096.0;35625282.0;9950481.0;1131620.0;937530.0;17923697.0;4083143.0;31440823.0
03-02-2019;2337331.0;17331185.0;107129725.0;41354316.0;8169710.0;6178568.0;19219586.0;15173564.0;3615058.0;41643455.0;10159040.0;1028234.0;1079180.0;13584628.0;5800115.0;17572579.0
04-02-2019;1703664.0;23354838.0;131130542.0;65486127.0;23831948.0;19278219.0;35505491.0;23169773.0;2934771.0;26817626.0;12658748.0;978219.0;1368370.0;13634269.0;7507384.0;46156182.0
05-02-2019;2580595.0;27662594.0;140209684.0;64159642.0;19091175.0;15526779.0;27860993.0;24161865.0;4306289.0;28844984.0;11514125.0;2288507.0;956332.0;13642706.0;4962229.0;27045382.0
