dt;treatment_flag;gross_amt_base;gross_amt_cross;gross_amt_other;unit_cnt_base;unit_cnt_cross;unit_cnt_other
15-02-2019;control;37276889.0;5468257.0;16183789.0;580.0;320.0;204.0
16-02-2019;control;36904054.0;4953847.0;15722521.0;502.0;129.0;100.0
17-02-2019;control;40952289.0;6251997.0;12573657.0;432.0;436.0;112.0
18-02-2019;control;63140419.0;9507730.0;28257836.0;2172.0;410.0;213.0
19-02-2019;control;58667450.0;12217100.0;24517257.0;1084.0;678.0;205.0
20-02-2019;control;71430052.0;9605756.0;27759518.0;835.0;267.0;364.0
21-02-2019;control;46108822.0;5690805.0;15804783.0;1286.0;261.0;108.0
22-02-2019;control;61221932.0;14088187.0;32556761.0;979.0;940.0;259.0
23-02-2019;control;36654385.0;5553196.0;26176773.0;861.0;166.0;140.0
24-02-2019;control;43250191.0;9528607.0;14822835.0;1723.0;854.0;97.0
25-02-2019;control;45830437.0;8278155.0;15402395.0;1048.0;351.0;169.0
26-02-2019;control;73008384.0;13967125.0;31619895.0;1343.0;708.0;247.0
27-02-2019;control;62334145.0;7580300.0;25766483.0;850.0;255.0;193.0
28-02-2019;control;52864908.0;6159534.0;40839011.0;826.0;219.0;233.0
01-03-2019;control;107426142.0;21149276.0;36906226.0;2997.0;1233.0;395.0
02-03-2019;control;58408089.0;11605126.0;21963817.0;1028.0;903.0;520.0
03-03-2019;control;59921521.0;9721465.0;41804737.0;783.0;351.0;233.0
04-03-2019;control;142335702.0;25266277.0;63161957.0;6343.0;2849.0;681.0
05-03-2019;control;133396744.0;35241660.0;57170383.0;5488.0;3329.0;592.0
06-03-2019;control;129961845.0;25948877.0;59362285.0;3346.0;1842.0;492.0
07-03-2019;control;147999411.0;37855722.0;42170930.0;6593.0;1745.0;669.0
08-03-2019;control;134762323.0;38999971.0;37472417.0;6769.0;3157.0;478.0
09-03-2019;control;79100308.0;17844638.0;43246640.0;2257.0;1153.0;332.0
10-03-2019;control;44298098.0;8124903.0;26821398.0;825.0;555.0;210.0
11-03-2019;control;117260891.0;40981638.0;47517436.0;4922.0;3431.0;632.0
12-03-2019;control;131318851.0;23051965.0;53108783.0;8240.0;1939.0;679.0
13-03-2019;control;132889912.0;41748225.0;64176965.0;5949.0;2397.0;556.0
14-03-2019;control;133880219.0;36148431.0;55830017.0;3234.0;2461.0;410.0
15-03-2019;control;107959703.0;23614980.0;62601781.0;2765.0;1360.0;695.0
16-03-2019;control;85541464.0;20197695.0;34171621.0;2172.0;1070.0;350.0
17-03-2019;control;51400115.0;6605923.0;20143100.0;468.0;208.0;177.0
18-03-2019;control;115756277.0;28882231.0;30229990.0;6292.0;3263.0;285.0
19-03-2019;control;144054630.0;44902841.0;60353194.0;4877.0;3334.0;502.0
20-03-2019;control;127877585.0;34706900.0;35377021.0;3262.0;3660.0;393.0
21-03-2019;control;143423710.0;33472012.0;51505923.0;5344.0;2376.0;530.0
22-03-2019;control;112475983.0;26774040.0;43639336.0;6500.0;1980.0;625.0
23-03-2019;control;83740423.0;13709790.0;29200441.0;1421.0;654.0;262.0
24-03-2019;control;39529947.0;4295551.0;19674426.0;531.0;107.0;105.0
25-03-2019;control;57443007.0;10038593.0;28997190.0;1113.0;566.0;215.0
26-03-2019;control;141361423.0;29865306.0;67676617.0;5168.0;2520.0;825.0
27-03-2019;control;117992130.0;25000714.0;49400083.0;4630.0;1931.0;506.0
28-03-2019;control;127237319.0;33935347.0;29749955.0;5164.0;2997.0;364.0
29-03-2019;control;112368699.0;14524438.0;32414925.0;4696.0;1221.0;380.0
30-03-2019;control;68042531.0;18449073.0;29389588.0;2037.0;1644.0;224.0
31-03-2019;control;37405895.0;4846479.0;17958227.0;796.0;211.0;171.0
01-04-2019;control;118447917.0;31747505.0;17595640.0;5660.0;2486.0;243.0
02-04-2019;control;115810398.0;14839050.0;30070379.0;1834.0;1191.0;253.0
03-04-2019;control;94945452.0;18419651.0;25424701.0;2622.0;876.0;291.0
04-04-2019;control;112207975.0;21285377.0;27928391.0;3187.0;1478.0;342.0
05-04-2019;control;98149028.0;20157674.0;20465628.0;2040.0;1571.0;314.0
06-04-2019;control;70609251.0;16570928.0;18465461.0;1883.0;815.0;237.0
07-04-2019;control;46253918.0;8025085.0;17457312.0;595.0;384.0;132.0
08-04-2019;control;113389344.0;22203884.0;24364710.0;2743.0;1970.0;359.0
09-04-2019;control;121209986.0;25545854.0;26937566.0;3798.0;1778.0;470.0
10-04-2019;control;107076037.0;20446114.0;30630489.0;2743.0;1610.0;295.0
11-04-2019;control;132881082.0;29015264.0;42455039.0;3315.0;2095.0;442.0
12-04-2019;control;114506299.0;16191073.0;19531257.0;2649.0;914.0;426.0
13-04-2019;control;64560715.0;13158119.0;20208929.0;1918.0;951.0;146.0
14-04-2019;control;34952826.0;4019773.0;27066534.0;392.0;165.0;113.0
15-04-2019;control;85911246.0;13815904.0;21742553.0;2713.0;739.0;228.0
16-04-2019;control;108996345.0;33259771.0;29889145.0;10039.0;3452.0;443.0
17-04-2019;control;89533279.0;14819992.0;26773963.0;2881.0;976.0;225.0
18-04-2019;control;38217343.0;4683324.0;11739110.0;621.0;490.0;87.0
19-04-2019;control;33704625.0;5723439.0;14644700.0;1231.0;220.0;107.0
20-04-2019;control;59701252.0;6893588.0;14385452.0;1068.0;440.0;208.0
21-04-2019;control;38139601.0;6044458.0;12649706.0;717.0;238.0;114.0
22-04-2019;control;143263954.0;25086739.0;29978483.0;5000.0;2080.0;307.0
23-04-2019;control;130326403.0;31517520.0;37299011.0;7060.0;2429.0;843.0
24-04-2019;control;117165433.0;19539831.0;32025841.0;3300.0;1024.0;364.0
25-04-2019;control;80575007.0;21128393.0;28498973.0;2162.0;1882.0;612.0
26-04-2019;control;87804914.0;24440289.0;25725403.0;1873.0;1282.0;501.0
27-04-2019;control;49979651.0;10880108.0;12451904.0;2346.0;866.0;137.0
28-04-2019;control;35718608.0;7890100.0;15833542.0;527.0;270.0;113.0
29-04-2019;control;87944706.0;28578402.0;30844151.0;2861.0;2151.0;247.0
30-04-2019;control;98381817.0;25510715.0;27644992.0;4070.0;1688.0;263.0
01-05-2019;control;31259909.0;7180014.0;19218927.0;343.0;228.0;156.0
02-05-2019;control;73004050.0;12333805.0;28062318.0;1017.0;456.0;223.0
03-05-2019;control;62491771.0;9132674.0;21754446.0;695.0;281.0;250.0
04-05-2019;control;40053281.0;5866549.0;20028763.0;409.0;168.0;165.0
05-05-2019;control;39571034.0;3639222.0;17331021.0;1050.0;108.0;143.0
06-05-2019;control;62412406.0;7806450.0;18054631.0;837.0;364.0;251.0
07-05-2019;control;113332236.0;30725724.0;50558525.0;5445.0;2169.0;431.0
08-05-2019;control;125728121.0;32225598.0;33518333.0;4387.0;2968.0;759.0
09-05-2019;control;120134473.0;45320927.0;44018576.0;3907.0;2730.0;395.0
10-05-2019;control;89928669.0;19838121.0;35952905.0;1737.0;1738.0;359.0
11-05-2019;control;52449638.0;12996273.0;25377478.0;676.0;498.0;146.0
12-05-2019;control;33236763.0;8709455.0;22789898.0;781.0;431.0;142.0
13-05-2019;control;90332724.0;21216501.0;25824556.0;4844.0;2695.0;523.0
14-05-2019;control;117896117.0;26085948.0;36747526.0;9409.0;2422.0;274.0
15-05-2019;control;90187070.0;30124622.0;36711848.0;3890.0;2282.0;736.0
16-05-2019;control;132091787.0;33077452.0;43939123.0;4797.0;2379.0;354.0
17-05-2019;control;202637237.0;56278543.0;76977240.0;5792.0;3929.0;707.0
18-05-2019;control;112715786.0;20429619.0;62670863.0;1789.0;807.0;694.0
19-05-2019;control;92078790.0;16597729.0;64126412.0;1276.0;564.0;483.0
20-05-2019;control;151580478.0;30109096.0;67299064.0;3468.0;1266.0;544.0
21-05-2019;control;183926128.0;37778183.0;50585443.0;4718.0;2062.0;1676.0
22-05-2019;control;140647266.0;45295888.0;71528740.0;4643.0;2438.0;675.0
23-05-2019;control;121202999.0;40420275.0;48875907.0;5051.0;3917.0;1196.0
24-05-2019;control;109875058.0;22941232.0;36322725.0;2783.0;1402.0;859.0
25-05-2019;control;70335925.0;13362529.0;29817896.0;1231.0;476.0;277.0
26-05-2019;control;45063759.0;8703324.0;12878384.0;539.0;292.0;120.0
27-05-2019;control;134703067.0;35216129.0;57857962.0;3012.0;1815.0;738.0
28-05-2019;control;133939190.0;46822575.0;60655898.0;10073.0;4086.0;933.0
29-05-2019;control;107725978.0;20766943.0;27418538.0;5877.0;1649.0;1047.0
30-05-2019;control;131269247.0;30114261.0;34046465.0;9990.0;2410.0;367.0
31-05-2019;control;90160759.0;29370556.0;31880369.0;3394.0;2249.0;332.0
01-06-2019;control;49688474.0;9594485.0;24037437.0;4544.0;894.0;242.0
02-06-2019;control;39767355.0;6357804.0;10560194.0;1713.0;602.0;167.0
03-06-2019;control;52342121.0;12080761.0;21129481.0;1010.0;690.0;191.0
04-06-2019;control;107622684.0;27072167.0;42203647.0;3973.0;2035.0;597.0
05-06-2019;control;137421123.0;43091464.0;30373429.0;4665.0;2497.0;563.0
06-06-2019;control;102444494.0;29307373.0;32252895.0;4248.0;1654.0;397.0
07-06-2019;control;105203993.0;25929640.0;39109979.0;3333.0;1853.0;519.0
08-06-2019;control;71975902.0;14612021.0;21168306.0;1990.0;824.0;207.0
09-06-2019;control;42683166.0;7367603.0;18385569.0;1091.0;439.0;167.0
10-06-2019;control;112265613.0;25733287.0;56797447.0;3654.0;1548.0;1347.0
11-06-2019;control;114536728.0;29425256.0;42414892.0;4064.0;2004.0;575.0
12-06-2019;control;141689479.0;46290616.0;56041644.0;6538.0;2731.0;408.0
13-06-2019;control;123078006.0;28048095.0;33992863.0;4488.0;1458.0;355.0
14-06-2019;control;128257890.0;27108266.0;33091107.0;3707.0;1417.0;511.0
15-06-2019;control;64551816.0;12699376.0;16992041.0;1591.0;764.0;223.0
16-06-2019;control;43362138.0;7803823.0;14298160.0;732.0;365.0;138.0
17-06-2019;control;148007792.0;24936642.0;43968239.0;8682.0;1914.0;1019.0
18-06-2019;control;167009213.0;34362482.0;61293766.0;4459.0;2083.0;585.0
19-06-2019;control;153081810.0;28048824.0;57796315.0;4451.0;1555.0;420.0
20-06-2019;control;127776607.0;30084087.0;42997372.0;5581.0;1985.0;1385.0
21-06-2019;control;94135732.0;17813360.0;19373787.0;2754.0;1200.0;340.0
22-06-2019;control;55136635.0;12226791.0;15076305.0;2205.0;1621.0;183.0
23-06-2019;control;29781263.0;4650199.0;15620189.0;910.0;114.0;124.0
24-06-2019;control;42066279.0;9121526.0;19779125.0;609.0;480.0;193.0
25-06-2019;control;132354765.0;29085775.0;46105981.0;4036.0;3371.0;669.0
26-06-2019;control;143067211.0;28533696.0;32148054.0;7423.0;1788.0;386.0
27-06-2019;control;116812768.0;34661706.0;23839440.0;4896.0;2507.0;298.0
28-06-2019;control;98256857.0;18988671.0;31864830.0;3104.0;1077.0;336.0
29-06-2019;control;59285376.0;14770356.0;25554348.0;1704.0;810.0;221.0
30-06-2019;control;33865218.0;5233776.0;12164905.0;370.0;166.0;82.0
01-07-2019;control;50549857.0;8387881.0;20219499.0;769.0;406.0;285.0
02-07-2019;control;106472066.0;38899816.0;38941114.0;3881.0;3909.0;283.0
03-07-2019;control;122201508.0;26812738.0;33404463.0;3345.0;1935.0;429.0
04-07-2019;control;141237385.0;32200139.0;45103993.0;3105.0;2175.0;481.0
05-07-2019;control;118758309.0;18512954.0;24388921.0;3374.0;1473.0;354.0
06-07-2019;control;60927263.0;18387090.0;19828038.0;1378.0;769.0;157.0
07-07-2019;control;59853281.0;7877796.0;22660295.0;855.0;410.0;182.0
08-07-2019;control;114177305.0;28908870.0;29487347.0;3621.0;1793.0;294.0
09-07-2019;control;146143411.0;43134037.0;44239447.0;11817.0;3083.0;828.0
10-07-2019;control;106234965.0;31818463.0;32186292.0;5019.0;1841.0;370.0
11-07-2019;control;135794312.0;25853229.0;40110020.0;4962.0;1910.0;543.0
12-07-2019;control;110904967.0;33010524.0;38067098.0;5058.0;3009.0;1021.0
13-07-2019;control;82394249.0;21407347.0;27955299.0;1966.0;1454.0;225.0
14-07-2019;control;52726150.0;12909246.0;19168801.0;887.0;505.0;186.0
15-07-2019;control;122889702.0;27278453.0;32468144.0;4474.0;2279.0;496.0
16-07-2019;control;115415893.0;25566871.0;44689938.0;5066.0;3049.0;496.0
17-07-2019;control;111560414.0;26815054.0;38194230.0;4033.0;2087.0;472.0
18-07-2019;control;141998713.0;35567150.0;42359359.0;4954.0;2522.0;1005.0
19-07-2019;control;132531237.0;30060423.0;39088101.0;5995.0;2008.0;498.0
20-07-2019;control;45215914.0;6688964.0;30548599.0;632.0;209.0;159.0
21-07-2019;control;44477144.0;8241109.0;15764994.0;646.0;387.0;167.0
22-07-2019;control;127543475.0;36911562.0;43353863.0;5007.0;2195.0;411.0
23-07-2019;control;136782934.0;36156119.0;45504626.0;5293.0;2159.0;567.0
24-07-2019;control;138926589.0;34769094.0;46061222.0;7630.0;2038.0;1789.0
25-07-2019;control;133662415.0;28776823.0;36281713.0;7154.0;2892.0;392.0
26-07-2019;control;121704417.0;29951699.0;35308771.0;6567.0;1573.0;367.0
27-07-2019;control;72172824.0;21972775.0;23598517.0;2948.0;1318.0;181.0
28-07-2019;control;55652033.0;10922744.0;19261389.0;915.0;506.0;235.0
29-07-2019;control;155710125.0;40551980.0;52528846.0;6198.0;3129.0;469.0
